"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: WHO Digital Documentation of COVID Certificates"
"vaccination-certificate-core-data-set","vaccination-certificate-core-data-set","","","",0,*,"","","","null {[]} {[]}
","IMMZ.H Vaccination Status","Data elements for the IMMZ.H Vaccination Status Data Dictionary.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"vaccination-certificate-core-data-set.name","vaccination-certificate-core-data-set.name","","","",1,1,"","","Y","string {[]} {[]}
","Client Name","Client Name","","","","","","","","","",,,,,"",,,,"vaccination-certificate-core-data-set.name",1,1,"",""
"vaccination-certificate-core-data-set.birthDate","vaccination-certificate-core-data-set.birthDate","","","",0,1,"","","Y","date {[]} {[]}
","Date of birth","Date of birth","","","","","","","","","",,,,,"",,,,"vaccination-certificate-core-data-set.birthDate",0,1,"",""
"vaccination-certificate-core-data-set.identifier","vaccination-certificate-core-data-set.identifier","","","",0,1,"","","Y","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/elementdefinition-identifier]]} {[]}
","Unique identifier","Unique identifier","","","","","","","","","",,,,,"",,,,"vaccination-certificate-core-data-set.identifier",0,1,"",""
"vaccination-certificate-core-data-set.certificate","vaccination-certificate-core-data-set.certificate","","","",0,1,"","","","BackboneElement {[]} {[]}
","Certificate Metadata","Certificate Metadata","","","","","","","","","",,,,,"",,,,"vaccination-certificate-core-data-set.certificate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"vaccination-certificate-core-data-set.certificate.id","vaccination-certificate-core-data-set.certificate.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"vaccination-certificate-core-data-set.certificate.extension","vaccination-certificate-core-data-set.certificate.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"vaccination-certificate-core-data-set.certificate.modifierExtension","vaccination-certificate-core-data-set.certificate.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"vaccination-certificate-core-data-set.certificate.issuer","vaccination-certificate-core-data-set.certificate.issuer","","","",1,1,"","","","code {[]} {[]}
","Certificate issuer","Certificate issuer","","","","","","","","","",,,,,"",,,,"vaccination-certificate-core-data-set.certificate.issuer",1,1,"","","Composition.author.identifier"
"vaccination-certificate-core-data-set.certificate.kid","vaccination-certificate-core-data-set.certificate.kid","","","",0,1,"","","","string {[]} {[]}
","Key ID used to verify the signature of the certificate","Key ID used to verify the signature of the certificate","","","","","","","","","",,,,,"",,,,"vaccination-certificate-core-data-set.certificate.kid",0,1,"",""
"vaccination-certificate-core-data-set.certificate.hcid","vaccination-certificate-core-data-set.certificate.hcid","","","",1,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/elementdefinition-identifier]]} {[]}
","Health certificate identifier (HCID)","Health certificate identifier (HCID)","","","","","","","","","",,,,,"",,,,"vaccination-certificate-core-data-set.certificate.hcid",1,1,"",""
