URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/ValueSet/DDCQRFormatCodesVS,0.1.0,draft,,DDCQRFMTCodesVS,Digital Certificate Formats,"ValueSets for Digital Certificate Formats","StructureDefinition/DigitalCertificateDocumentReferenceQR","Internal"
https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/ValueSet/DueOROverdueVaccinationVS,0.1.0,draft,,IMMZD1DE10VS,Due OR Overdue Vaccination(s),"Due OR Overdue Vaccination(s)","StructureDefinition/IMMZDdefaulterTracing","Internal"
https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/ValueSet/HivStatusVS,0.1.0,draft,,IMMZB1DE1VS,Client's HIV Status,"Client's HIV Status","StructureDefinition/IMMZBUpdateClientHistory","Internal"
https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/ValueSet/KenyanImmunizationNotDoneReasonsVS,0.1.0,draft,,KenyanImmunizationNotDoneReasonsVS,Reason Vaccine not administered,"Reasons a Vaccine was not administered (Kenyan National Program)","StructureDefinition/KenyanImmunization","Other"
https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/ValueSet/PatientContactListVS,0.1.0,draft,,PATCONTACTSLSTS,Patient Contact List,"Paytient Contact List","StructureDefinition/KenyanImmunizationRegistryPatient","Internal"
https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/ValueSet/PatientIdentifierTypeVS,0.1.0,draft,,PTDIDTYPS,Patient Identifier type,"This is a set of valuesets that have been defined for the KenyanPatient Registry","StructureDefinition/KenyanImmunizationRegistryPatient","Internal"
https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/ValueSet/StockAdjustmentVs,0.1.0,draft,,STOCKADJUSTMENTS,Stock Adjustment,"Stock Adjustment","StructureDefinition/adjustment-type","Internal"
https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/ValueSet/VaccinesValueSet,0.1.0,draft,,VaccinesValueSet,Combination Codes for vaccine,"This is a mixed value set",,"hl7.terminology.r4"
https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/ValueSet/aefiActionTakenVS,0.1.0,draft,,AEFIACTIONTAKEN,AEFI Action Taken,"AEFI Action Taken","StructureDefinition/action-taken","Internal"
https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/ValueSet/aefiOutcomeVS,0.1.0,draft,,IMMZFDE33VS,AEFI Outcome,"AEFI Outcome","StructureDefinition/AdverseEventProfile","Internal"
https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/ValueSet/childCanBeLocatedVS,0.1.0,draft,,IMMZD1DE1VS,Child can be located,"Child can be located","StructureDefinition/IMMZDdefaulterTracing","Internal"
https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/ValueSet/clientTSTTestResult,0.1.0,draft,,IMMZB1DE36VS,Client's TST Test Result,"Client's TST Test Result","StructureDefinition/IMMZBUpdateClientHistory","Internal"
https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/ValueSet/contraindicationToVaccineVS,0.1.0,draft,,IMMZC1DE11VS,Contraindications to vaccine,"Contraindications to vaccine",,"Internal"
https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/ValueSet/disaggregationGroupVS,0.1.0,draft,,IMMZE1DE32VS,Disaggregation Group,"Disaggregation Group",,"Internal"
https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/ValueSet/exposedToCloseContactWithTBVs,0.1.0,draft,,IMMZB1DE33VS,Exposed to close contact with TB,"Exposed to close contact with TB",,"Internal"
